source,destination,reverse_operator,confidence,forward_operators,forward_confidences,in_forward_set,is_collision,returned_model,run_dir
P4,P8,DEVELOP,0.51,ECHO|DEVELOP,0.58|0.25,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231617Z_relop-reverse-P4-P8_live
P5,F5,DEVELOP,0.67,ECHO,0.12,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231618Z_relop-reverse-P5-F5_live
P5,F11,DEVELOP,0.75,CONTRADICT,0.23,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231618Z_relop-reverse-P5-F11_live
P5,P3,DEVELOP,0.58,DEVELOP|BRIDGE,0.2|0.22,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231619Z_relop-reverse-P5-P3_live
P6,F12,DEVELOP,0.81,ECHO|DEVELOP,0.46|0.35,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231619Z_relop-reverse-P6-F12_live
P6,P3,DEVELOP,0.69,BRIDGE,0.18,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231620Z_relop-reverse-P6-P3_live
P6,P7,DEVELOP,0.57,CONTRADICT,0.33,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231620Z_relop-reverse-P6-P7_live
P7,P6,DEVELOP,0.71,ECHO|DEVELOP|CONTRADICT|BRIDGE,0.64|0.38|0.33|0.11,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231621Z_relop-reverse-P7-P6_live
P8,F12,DEVELOP,0.58,ECHO|DEVELOP|BRIDGE,0.99|0.62|0.3,True,True,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231621Z_relop-reverse-P8-F12_live
P8,P6,DEVELOP,0.82,CONTRADICT,0.22,False,False,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T231621Z_relop-reverse-P8-P6_live
