source,operator,destination,confidence,model_version,run_dir
F6,ECHO,P5,0.43,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225829Z_relop-full-F6-echo_live
F6,DEVELOP,F4,0.29,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225830Z_relop-full-F6-develop_live
F6,CONTRADICT,P1,0.25,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225830Z_relop-full-F6-contradict_live
F6,BRIDGE,P3,0.23,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225831Z_relop-full-F6-bridge_live
F7,ECHO,F5,0.59,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225831Z_relop-full-F7-echo_live
F7,DEVELOP,F8,0.43,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225832Z_relop-full-F7-develop_live
F7,CONTRADICT,F8,0.83,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225832Z_relop-full-F7-contradict_live
F7,BRIDGE,P1,0.19,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225833Z_relop-full-F7-bridge_live
F8,ECHO,F1,0.28,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225833Z_relop-full-F8-echo_live
F8,DEVELOP,F7,0.25,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225834Z_relop-full-F8-develop_live
F8,CONTRADICT,F7,0.29,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225835Z_relop-full-F8-contradict_live
F8,BRIDGE,P1,0.2,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225835Z_relop-full-F8-bridge_live
F9,ECHO,F10,0.53,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225836Z_relop-full-F9-echo_live
F9,DEVELOP,F10,0.4,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225836Z_relop-full-F9-develop_live
F9,CONTRADICT,P1,0.22,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225837Z_relop-full-F9-contradict_live
F9,BRIDGE,P1,0.13,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225837Z_relop-full-F9-bridge_live
F10,ECHO,F9,0.56,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225838Z_relop-full-F10-echo_live
F10,DEVELOP,F4,0.39,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225838Z_relop-full-F10-develop_live
F10,CONTRADICT,P1,0.29,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225839Z_relop-full-F10-contradict_live
F10,BRIDGE,P3,0.25,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225839Z_relop-full-F10-bridge_live
F11,ECHO,F10,0.69,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225840Z_relop-full-F11-echo_live
F11,DEVELOP,F10,0.27,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225840Z_relop-full-F11-develop_live
F11,CONTRADICT,P1,0.72,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225841Z_relop-full-F11-contradict_live
F11,BRIDGE,F10,0.17,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225841Z_relop-full-F11-bridge_live
F12,ECHO,P8,0.96,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225842Z_relop-full-F12-echo_live
F12,DEVELOP,F4,0.16,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225842Z_relop-full-F12-develop_live
F12,CONTRADICT,P6,0.53,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225843Z_relop-full-F12-contradict_live
F12,BRIDGE,P3,0.27,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225844Z_relop-full-F12-bridge_live
P1,ECHO,P2,0.66,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225844Z_relop-full-P1-echo_live
P1,DEVELOP,P2,0.31,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225845Z_relop-full-P1-develop_live
P1,CONTRADICT,F11,0.38,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225845Z_relop-full-P1-contradict_live
P1,BRIDGE,P2,0.32,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225845Z_relop-full-P1-bridge_live
P2,ECHO,P3,0.93,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225846Z_relop-full-P2-echo_live
P2,DEVELOP,P3,0.99,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225847Z_relop-full-P2-develop_live
P2,CONTRADICT,P3,0.7,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225847Z_relop-full-P2-contradict_live
P2,BRIDGE,P3,0.57,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225847Z_relop-full-P2-bridge_live
P3,ECHO,P2,0.95,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225848Z_relop-full-P3-echo_live
P3,DEVELOP,P2,0.31,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225849Z_relop-full-P3-develop_live
P3,CONTRADICT,P2,0.61,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225849Z_relop-full-P3-contradict_live
P3,BRIDGE,F4,0.18,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225850Z_relop-full-P3-bridge_live
P4,ECHO,P8,0.58,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225850Z_relop-full-P4-echo_live
P4,DEVELOP,P8,0.25,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225851Z_relop-full-P4-develop_live
P4,CONTRADICT,P7,0.51,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225851Z_relop-full-P4-contradict_live
P4,BRIDGE,P3,0.46,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225852Z_relop-full-P4-bridge_live
P5,ECHO,F5,0.12,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225852Z_relop-full-P5-echo_live
P5,DEVELOP,P3,0.2,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225853Z_relop-full-P5-develop_live
P5,CONTRADICT,F11,0.23,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225853Z_relop-full-P5-contradict_live
P5,BRIDGE,P3,0.22,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225854Z_relop-full-P5-bridge_live
P6,ECHO,F12,0.46,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225854Z_relop-full-P6-echo_live
P6,DEVELOP,F12,0.35,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225855Z_relop-full-P6-develop_live
P6,CONTRADICT,P7,0.33,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225855Z_relop-full-P6-contradict_live
P6,BRIDGE,P3,0.18,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225856Z_relop-full-P6-bridge_live
P7,ECHO,P6,0.64,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225856Z_relop-full-P7-echo_live
P7,DEVELOP,P6,0.38,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225857Z_relop-full-P7-develop_live
P7,CONTRADICT,P6,0.33,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225858Z_relop-full-P7-contradict_live
P7,BRIDGE,P6,0.11,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225858Z_relop-full-P7-bridge_live
P8,ECHO,F12,0.99,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225859Z_relop-full-P8-echo_live
P8,DEVELOP,F12,0.62,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225859Z_relop-full-P8-develop_live
P8,CONTRADICT,P6,0.22,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225900Z_relop-full-P8-contradict_live
P8,BRIDGE,F12,0.3,jev-1.13.0,/Users/ghostradongus/gibsey-lab/gisbey-lab/runs/20260919T225900Z_relop-full-P8-bridge_live
